_id,name,brand,category,uni_code,box_quantity,price,quantity,stock_item,__v,spent,barcodes[0],barcodes[1],suppliers[0],suppliers[1],suppliers[2],barcode[0],barcode[1],volume,volume_unity,tax
66cce2aa0ad0ecdcf476c3d6,Botina ,Kadesh,Epi,n° 42 ,,,0,false,0,0,,,,,,,,,,
66cce2cb0ad0ecdcf476c3ec,Botina  ,Kadesh,Epi,n° 43  ,,,3,false,0,0,,,,,,,,,,
66cde07c0ad0ecdcf4775cdd,Tampa Para Bisnaga,Nalgon,Outras,,,4.16,33,false,0,0,,,,,,,,,,
66ce10620ad0ecdcf4777458,Copo Pistola de Pintura,PDR,Outras,550/600ml,,30,39,false,0,1,,,,,,,,,,
66ce227c0ad0ecdcf4777f99,Pistola de Pintura,PDR,Outras,PR550/1.7m,,170,5,false,0,4,,,,,,,,,,
66ce23210ad0ecdcf4777fb5,Pistola Pintura K3,PDR,Outras,PR503 ,,140,0,false,0,0,,,,,,,,,,
66ce23d80ad0ecdcf4777fbd,Pistola Pintura K3 ,Outras,Outras,,,,7,false,0,0,,,,,,,,,,
66ce24340ad0ecdcf4777fd5,Base Hookit,LDR2,Outras,DR6-006,,,35,false,0,0,,,,,,,,,,
66ce2fe80ad0ecdcf4778145,Bobina Plástico Bolha,Outras,Outras,120cm x 80m,,55,1,false,0,0,,,66c7917ec6f2db25b1a74694,,,,,,,
66ce30330ad0ecdcf477815b,Pacote Saco de Lixo ,Outras,Outras,200lts C/100,,131,5,false,0,2,,,66c7917ec6f2db25b1a74694,,,,,,,
66cf503f0ad0ecdcf477ab28,Bateria Litio ,Makita,Outras,18V 3Ah,,145.25,0,false,0,0,,,,,,,,,,
66cf50c10ad0ecdcf477abea,Bisnaga Pisseta,Outras,Outras,500ml PP,,6.55,4,false,0,0,,,,,,,,,,
66cf512a0ad0ecdcf477abf3,Bisnaga Pisseta ,Outras,Outras,1000ml PP,,15.75,0,false,0,3,,,,,,,,,,
66cf51520ad0ecdcf477abfb,Lanterna Led ,Outras,Outras,,,209,1,false,0,0,,,,,,,,,,
66cf53900ad0ecdcf477ad6d,Refil de Gás ,Eos,Outras,400gr,,30,3,false,0,0,,,,,,,,,,
66d056122537cfd91d21dfdb,Lanterna de Cabeça,Headlamp,Ferramenta,,,35.5,9,false,0,0,,,666824e08c8e77b54bf64798,,,,,,,
66d056bf2537cfd91d21dfe3,Óculos de Proteção,Delta Plus,Epi,RJ,10,3.6,26,false,0,3,,,666824e08c8e77b54bf64798,,,,,1,un,
