_id,name,brand,hex,type,formula[0].base,formula[1].base,formula[2].base,formula[3].base,formula[4].base,formula[5].base,formula[6].base,formula[7].base,formula[8].base,formula[9].base,formula[10].base,formula[11].base,formula[0].quantity,formula[1].quantity,formula[2].quantity,formula[3].quantity,formula[4].quantity,formula[5].quantity,formula[6].quantity,formula[7].quantity,formula[8].quantity,formula[9].quantity,formula[10].quantity,formula[11].quantity,__v,manufacturer,tags[0],tags[1],tags[2],brands[0],brands[1],brands[2],brands[3],manufacture
669574ebbde8fadf6748d93f,Vermelho Escarlate,Farben,#f33e1a,Acrilico,65ea0cbc88af5449465bf4d0,6620073ab18ad27a975a662b,65eef5c2c6ade12d4088a291,65ea0eb988af5449465bf4f8,,,,,,,,,152,17.3,45,5.3,,,,,,,,,0,Scania,,,,,,,,
66957b75bde8fadf6748da95,Black Magic,Farben,#111112,Poliester,,,,,,,,,,,,,,,,,,,,,,,,,0,Volvo,,,,,,,,
66957f38bde8fadf6748dcd4,Azul Mediterrâneo,Farben,#2a5bd8,Acrilico,65ea0cf588af5449465bf4d8,6620073ab18ad27a975a662b,65ea0f0c88af5449465bf500,65ea0d9588af5449465bf4e8,,,,,,,,,68,31,24,0.8,,,,,,,,,0,Scania,,,,,,,,
66957f5fbde8fadf6748dce2,Azul Baltico,Farben,#323b8c,Acrilico,65ea0f0c88af5449465bf500,6620073ab18ad27a975a662b,65ea0c5acaee68804da3dfb4,65ea107388af5449465bf514,,,,,,,,,98,16.5,0.6,1.65,,,,,,,,,0,Scania,1396147,,,,,,,
66965868bde8fadf6748e469,Vermelho Massey Lazzuril,Lazzuril,#f72b24,Laca,65e87b69cb7a1ff3d9a824ce,65e87b69cb7a1ff3d9a824d8,65e87b69cb7a1ff3d9a824de,65e87b69cb7a1ff3d9a824ea,65e87b69cb7a1ff3d9a824d6,,,,,,,,525,13,2,13,1444,,,,,,,,0,,,,,,,,,
669e8f49bde8fadf674e9aef,Vermelho Sport II,Farben,#bf2121,Laca,65e87b69cb7a1ff3d9a824ce,65e87b69cb7a1ff3d9a824e2,65e87b69cb7a1ff3d9a824ea,65e87b69cb7a1ff3d9a824de,65e87b69cb7a1ff3d9a824d6,,,,,,,,219,94,20.3,1.7,48,,,,,,,,0,,,,,669e8c05bde8fadf674e9353,,,,
669fc3f1bde8fadf674febcb,Green Tibesti (Confirmar),Farben,#89e035,Acrilico,65ea0edb88af5449465bf4fc,65eef5c2c6ade12d4088a291,6620073ab18ad27a975a662b,65ea0fba88af5449465bf50c,,,,,,,,,183,1296,332,2.7,,,,,,,,,0,Volvo,S94579,l9053.1592,,,,,,
66a0f66eaffe4f371ee3c3ff,Cinza Moonstone,Farben,#757373,Acrilico,65ea0d9588af5449465bf4e8,6620073ab18ad27a975a662b,65ea0cda88af5449465bf4d4,65ea107388af5449465bf514,65ea0f0c88af5449465bf500,,,,,,,,945,1280,13.98,8.15,11.8,,,,,,,,0,VW,C2C2,,,,,,,
66a7bc66af9e4dcbc175102f,Rosa Bonfim (Claro),Farben,#ffbede,Laca,65e87b69cb7a1ff3d9a824ea,65e87b69cb7a1ff3d9a824e2,65e87b69cb7a1ff3d9a824ce,,,,,,,,,,790,8,19.5,,,,,,,,,,0,,,,,66a268daaf9e4dcbc17185e8,,,,
66a7be8faf9e4dcbc1751880,Rosa Bonfim (Escuro),Farben,#d8425b,Laca,65e87b69cb7a1ff3d9a824ce,65e87b69cb7a1ff3d9a824e2,65e87b69cb7a1ff3d9a824ea,,,,,,,,,,16.8,4,16.2,,,,,,,,,,0,,,,,66a268daaf9e4dcbc17185e8,,,,
