idx	uniCode	nome	categoriaAtual	marca	qtd	ppeType
674		Lixa Hookit P600	Abrasivos/REGULAR	3M	300	
675	113.8780e	Preto Fosco Chassi	Pigmento/REGULAR	Farben	26	
676	UC605	Perolizado Dourado	Pigmento/REGULAR	Farben	8	
677	UC290	Preto	Pigmento/REGULAR	Farben	10.377500000000005	
678		Botina - 40	Epi/PPE	Ecosafety	6	BOOTS
679	c/25	Copo Cristal 770ml	Material/REGULAR	Genérico	92	
680	F10	Fitilho Reciclado	(sem)	Genérico	4	
681	536.1080	Branco Acrilico Puro	Base/REGULAR	Farben	38	
682	1/2	Soquete Sextavado 14	Ferramenta/TOOL	Gedore	2	
683	AC135	Vermelho Vivo	Pigmento/REGULAR	Farben	3.856999999999997	
684	PM-20	Engate Rapido Macho (ext)	Peça/REGULAR	Japonês	147	
685	399021376	Refletor Led 50w-6500k	(sem)	Easy	11	
686	UC622	Perolizado Verde Luminoso	Pigmento/REGULAR	Farben	3.3979999999999997	
687	18v/4.0ah	Bateria 4.0ah	Ferramenta/TOOL	Bosch	9	
688	PF-20	Engate Rapido Macho (int)	(sem)	Japonês	85	
689	40grs Madeira	Bobina Papel Tk	Material/REGULAR	Del Rey	1470.5	
690	U-400	Adesivo Selante Preto	Consumível/REGULAR	Iiesa	41	
691	7502	Máscara Semi Facial Média	Epi/PPE	3M	17	MASK
692	IEP340	Clear Epoxi	Base/REGULAR	Farben	15.6854	
693	200x4,8mm	Abraçadeira Nylon Natural	Material/REGULAR	Genérico	2	
694	UC280	Preto Azulado	Pigmento/REGULAR	Farben	11.6949	
695		Disco de Interface	(sem)	Atlas	2	
696	STV200	Soprador Térmico	(sem)	Vonder	0	
697		Calça	Epi/PPE	Gourmet	8	PANTS
698		Soquete Sextavado 10 Longo	Ferramenta/TOOL	Genérico	2	
699		Parafuso Torx Inox	(sem)	Furgão	568	
700		Calça	Epi/PPE	Gourmet	16	PANTS
701		Camiseta	Epi/PPE	Gourmet	11	SHIRT
702		Soquete Hexagonal 4	Ferramenta/TOOL	Gedore	4	
703		Chave Biela L10	Ferramenta/TOOL	Gedore	1	
704	508.080	Resina Laminação	Ferramenta/TOOL	Farben	2	
705		Combinada Articulada 13	Ferramenta/TOOL	Belzer	1	
706		Maçarico	(sem)	Genérico	1	
707		Soprador Térmico Bateria	(sem)	Genérico	2	
708		Combinada Catraca 11	Ferramenta/TOOL	Gedore	1	
709		Botina Reposição - 43	Epi/PPE	Kadesh	1	BOOTS
710		Lixa Folha D'agua P220	Abrasivos/REGULAR	3M	700	
711		Bit T-30	Consumível/REGULAR	King Tony	38	
712	PP	Bisnaga Pisseta	(sem)	Genérico	3	
713		Mangueira de Água	(sem)	Ibirá	0	
714		Vassoura de Palha	(sem)	Atlas	2	
715	543.010	Verniz Pu Auto S/FO (3,6L)	Verniz/REGULAR	Farben	12	
716	2x	Extensão Elétrica	(sem)	Daneva	5	
717	P30 Cinza	Primer Spectra 2k	(sem)	Lazzuril	29	
718	1/2	Extensor P/ Soquete Grande	Ferramenta/TOOL	Gedore	3	
719		Galocha - 42	Epi/PPE	Kadesh	1	RAIN_BOOTS
720		Trena 5m	(sem)	Lufkin	13	
721	152m	Adesivo	Material/REGULAR	Hcr	223	
722		Calça	Epi/PPE	Gourmet	19	PANTS
723	559.500	Desengraxante	Diluente/REGULAR	Farben	439	
724		Faixa Refletiva Para Choque	(sem)	Dm	92	
725	U-400	Adesivo Selante Cinza	Consumível/REGULAR	Iiesa	90	
726	543.850	Verniz	Verniz/REGULAR	Farben	52	
727		Lixa Hookit P220	Abrasivos/REGULAR	3M	800	
728		Fita Crepe Amarela	Material/REGULAR	3M	589	
